dateLogged,day,sleepDuration,activeCalories,floors,maxHeartRate,minHeartRate,moderateIntensityMins,restHeartRate,calories,distance,steps,vigourousIntensityMinutes,VO2MAX,weight,beers,virus,predictVirus,score
1-Jan-17,Sunday,7.9,547,41,125,45,30,51,2672,12.8,16870,4,56,79.3,0,N,N,11.52
31-Dec-16,Saturday,9.4,1587,16,150,43,7,48,3709,12.4,13137,30,56,78.7,5,N,N,0.01
30-Dec-16,Friday,8.8,738,9,153,44,6,48,2857,10.7,11821,19,56,78.8,2,N,N,0.42
29-Dec-16,Thursday,11.1,1613,36,161,43,14,47,3732,12.9,14540,72,56,78.8,1,N,N,0.05
28-Dec-16,Wednesday,9.9,189,14,124,45,0,51,2313,7.6,9159,0,56,78.8,3,N,N,13.90
27-Dec-16,Tuesday,9.1,1897,139,179,46,37,53,4005,47.6,20300,88,58,77.5,2,N,N,0.01
26-Dec-16,Monday,9.8,1775,17,157,48,24,56,3877,15.7,16858,49,58,76.9,3,N,N,0.37
25-Dec-16,Sunday,8.8,503,23,133,40,0,52,2624,9.3,11055,0,57,78.5,1,N,N,28.95
24-Dec-16,Saturday,9.5,1637,51,170,43,8,49,3736,17.3,16593,72,57,76.8,1,N,N,0.08
23-Dec-16,Friday,10.5,536,12,146,43,0,50,2645,6.6,7659,0,57,77.6,1,N,N,15.75
22-Dec-16,Thursday,7.1,1923,34,166,45,31,48,4032,15.3,16639,66,57,77.6,1,N,N,0.01
21-Dec-16,Wednesday,9.2,641,0,127,46,0,48,2752,7.4,8757,0,57,77.8,0,N,N,4.98
20-Dec-16,Tuesday,7.8,2222,14,155,47,206,54,4343,16.2,13720,45,58,78.5,2,N,N,0.01
19-Dec-16,Monday,7.8,1040,14,164,47,2,53,3171,14.9,17025,11,58,79.4,1,N,N,0.09
18-Dec-16,Sunday,8.9,1653,55,179,39,12,45,3753,16.8,15275,51,58,76.9,0,N,N,0.01
17-Dec-16,Saturday,9.1,666,26,141,42,39,46,2777,11.2,13026,12,58,77.8,3,N,N,0.00
16-Dec-16,Friday,8.4,1071,47,157,41,6,44,3187,16.3,15163,49,57,78.2,1,N,N,0.00
15-Dec-16,Thursday,12.6,202,4,129,44,0,51,2327,4.7,5370,0,57,78.9,1,N,N,44.58
14-Dec-16,Wednesday,7.8,1141,51,162,41,6,43,3247,19.6,19622,47,57,77.4,0,N,N,0.00
13-Dec-16,Tuesday,8.5,1030,37,166,39,8,39,3141,17.2,16299,46,57,77.8,0,N,N,0.00
12-Dec-16,Monday,9.4,111,0,133,39,0,43,2219,3.3,3708,0,57,77.5,0,N,N,0.00
11-Dec-16,Sunday,8.8,1321,61,180,43,9,46,3425,18.2,17329,56,57,77.2,2,N,N,0.01
10-Dec-16,Saturday,9.3,1137,30,168,40,6,43,3245,12.8,12870,38,57,77.5,2,N,N,0.00
9-Dec-16,Friday,7.7,188,0,120,34,0,46,2314,8.7,10361,0,57,79,3,N,N,0.01
8-Dec-16,Thursday,7.8,297,12,122,40,0,52,2245,6.8,8151,0,56,78.4,1,N,N,8.36
7-Dec-16,Wednesday,8.6,1177,27,172,41,15,49,3296,17.2,17366,38,56,78.4,2,N,N,0.19
6-Dec-16,Tuesday,7.3,258,13,119,40,0,47,2377,8.5,10248,0,56,78.4,0,N,N,0.00
5-Dec-16,Monday,9.9,1422,44,178,44,9,47,3520,14.4,13239,55,56,76.7,0,N,N,0.00
4-Dec-16,Sunday,8.1,703,7,138,44,0,48,2813,11.7,13093,0,56,79.2,3,N,N,0.22
3-Dec-16,Saturday,8.2,1207,21,138,40,54,48,3317,16.6,18799,19,56,77.7,0,N,N,0.02
2-Dec-16,Friday,10,253,21,123,42,0,46,2363,5.1,5957,0,56,77.7,1,N,N,0.60
1-Dec-16,Thursday,9.9,298,13,122,37,0,43,2408,8.7,10472,0,56,77.7,0,N,N,0.00
30-Nov-16,Wednesday,9,848,43,167,40,4,46,2950,13.6,12269,56,56,76.9,0,N,N,0.08
29-Nov-16,Tuesday,9.4,372,6,135,37,0,39,2470,8.5,9819,0,56,76.7,0,N,N,0.00
28-Nov-16,Monday,7.8,1193,39,178,44,7,49,3291,16.6,15901,47,56,76.7,0,N,N,0.00
27-Nov-16,Sunday,8.6,422,27,137,37,5,50,2527,12.2,13196,13,56,77.3,3,N,N,0.68
26-Nov-16,Saturday,8,957,16,142,40,8,41,3062,15.3,16963,25,56,77.3,4,N,N,0.00
25-Nov-16,Friday,10.2,819,46,148,40,11,43,2924,10.8,11946,16,56,77.3,3,N,N,0.00
24-Nov-16,Thursday,8.3,944,37,168,39,5,41,3049,15,14753,47,56,77.3,0,N,N,0.00
23-Nov-16,Wednesday,8.4,1037,47,134,38,5,41,3148,20.3,24044,7,56,77.8,0,N,N,0.00
22-Nov-16,Tuesday,8.4,1139,44,168,37,11,41,3250,17.6,16995,49,55,77.8,0,N,N,0.00
21-Nov-16,Monday,7.9,459,37,117,43,26,43,2576,9.9,13170,0,55,78.3,0,N,N,0.00
20-Nov-16,Sunday,9.2,254,20,127,41,0,49,2356,6.4,7681,0,55,77,3,N,N,1.55
19-Nov-16,Saturday,8.3,1493,60,163,45,212,49,3595,18,15804,41,55,77,0,N,N,0.01
18-Nov-16,Friday,8.6,680,32,156,42,22,43,2782,11.2,11300,25,55,77,0,N,N,0.01
17-Nov-16,Thursday,8,570,27,131,39,0,44,2679,9.5,11249,0,56,77.6,1,N,N,0.00
16-Nov-16,Wednesday,11.4,509,14,125,42,10,44,2615,3.9,4685,0,56,77.4,0,N,N,0.33
15-Nov-16,Tuesday,9.4,100,0,116,37,0,45,2215,3.3,3808,0,56,78,0,N,N,0.00
14-Nov-16,Monday,10,145,17,116,44,0,48,2265,3.5,4235,0,56,78.5,0,N,N,0.02
13-Nov-16,Sunday,10,286,6,115,42,0,51,2418,8.9,10633,0,56,79.5,2,N,N,18.56
12-Nov-16,Saturday,7.2,3636,319,169,40,6,46,5768,50.3,52939,314,56,79.5,5,N,N,0.00
